price,bedrooms,dwell_type,street,neighborhood,furniture,title,square_feet,cityname,state
500,1,Apartment,"2214 george st, 2214 george st #1, anderson, in 46016",Anderson,Unfurnished,"2214 george st, 2214 george st #1, anderson, in 46016$500/mo1 bd1 ba599 sqft - apartment for rentshow more",599,anderson,IN
550,1,Apartment,"505 east 8th street, 505 e 8th st apt c, anderson, in 46012",Anderson,Unfurnished,"505 east 8th street, 505 e 8th st apt c, anderson, in 46012$550/mo1 bd1 ba1,875 sqft - apartment for rentshow more",1875,anderson,IN
595,1,Apartment,"6052 e washington st #b, indianapolis, in 46219",Irvington,Unfurnished,"6052 e washington st #b, indianapolis, in 46219$595/mo1 bd1 ba600 sqft - apartment for rentshow more",600,indianapolis,IN
645,1,Apartment,"6264 eastridge dr #200, indianapolis, in 46219",Eastside,Unfurnished,"6264 eastridge dr #200, indianapolis, in 46219$645/mo1 bd1 ba330 sqft - condo for rentshow more",330,indianapolis,IN
650,1,Apartment,"213-1 s madison ave #2, anderson, in 46016",Anderson,Unfurnished,"213-1 s madison ave #2, anderson, in 46016$650/mo1 bd1 ba600 sqft - apartment for rentshow more",600,anderson,IN
650,1,Apartment,"213 madison ave, anderson, in 46016",Anderson,Unfurnished,"213 madison ave, anderson, in 46016$650/mo1 bd1 ba600 sqft - apartment for rentshow more",600,anderson,IN
675,1,Apartment,"439 w 11th st #2, anderson, in 46016",Anderson,Unfurnished,"439 w 11th st #2, anderson, in 46016$675/mo1 bd1 ba643 sqft - apartment for rentshow more",643,anderson,IN
699,1,Apartment,"Oxmoor indy, 3640 n meridian st apt 15, indianapolis, in 46208",Crown Hill,Unfurnished,"Oxmoor indy, 3640 n meridian st apt 15, indianapolis, in 46208$699/mo1 bd1 ba700 sqft - apartment for rentshow more",700,indianapolis,IN
699,1,Apartment,"Kensington gardens, 7298 n kensington way, mccordsville, in 46055",Gateway Crossing,Unfurnished,"Kensington gardens, 7298 n kensington way, mccordsville, in 46055$699+/mo1 bd1 ba621 sqft - apartment for rentshow more",621,mccordsville,IN
700,1,Apartment,"1020 west 5th street, 1020 w 5th st #1020, anderson, in 46016",Anderson,Unfurnished,"1020 west 5th street, 1020 w 5th st #1020, anderson, in 46016$700/mo1 bd1 ba550 sqft - apartment for rentshow more",550,anderson,IN
695,1,Apartment,"8808 orchard st #b, liberty, mo 64068",Pleasant Valley,Unfurnished,"8808 orchard st #b, liberty, mo 64068$695/mo1 bd1 ba500 sqft - apartment for rentshow more",500,liberty,MO
700,1,Apartment,"511-513 prospect ave unit 6, kansas city, mo 64124",Pendleton Heights,Unfurnished,"511-513 prospect ave unit 6, kansas city, mo 64124$700/mo1 bd1 ba700 sqft - apartment for rentshow more",700,kansas city,MO
650,1,Apartment,"Eagle's nest apartments, 1440 n 38th st, kansas city, ks 66102",Northwest,Unfurnished,"Eagle's nest apartments, 1440 n 38th st, kansas city, ks 66102$650+/mo1 bd1 ba550 sqft - apartment for rentshow more",550,kansas city,KS
700,2,Apartment,"8720 e winner rd #1/2, independence, mo 64053",Independence,Unfurnished,"8720 e winner rd #1/2, independence, mo 64053$700/mo2 bds1 ba600 sqft - apartment for rentshow more",600,independence,MO
695,1,Apartment,"532 gladstone blvd apt 15, kansas city, mo 64124",Northeast Kansas City,Unfurnished,"532 gladstone blvd apt 15, kansas city, mo 64124$695/mo1 bd1 ba375 sqft - apartment for rentshow more",375,kansas city,MO
