zpid,address,cityname,state,zipcode,latitude,longitude,title,square_feet,price,bedrooms
2067232354,200 Cowan St,Pittsburgh,PA,15211,40.427944,-80.010376,Lofts of Mount Washington,,1400,1
2067232354,200 Cowan St,Pittsburgh,PA,15211,40.427944,-80.010376,Lofts of Mount Washington,,1850,2
457730439,324 State St #109,Albany,NY,12210,42.654972,-73.76347,"ArtHouse Apartments, 1BR C",950.0,1775,1
443147286,4410 Royal Hill Ct,Raleigh,NC,27612,35.840855,-78.67616,Clairmont at Crabtree,,1165,1
443147286,4410 Royal Hill Ct,Raleigh,NC,27612,35.840855,-78.67616,Clairmont at Crabtree,,1445,2
448395002,1701 Market St,Philadelphia,PA,19103,39.95387,-75.16873,17 Market West,,2395,1
448395002,1701 Market St,Philadelphia,PA,19103,39.95387,-75.16873,17 Market West,,3975,2
454124336,2800 New Brunswick Ave,Piscataway,NJ,08854,40.572826,-74.44091,Aspen Court Apartments,,2859,1
454124336,2800 New Brunswick Ave,Piscataway,NJ,08854,40.572826,-74.44091,Aspen Court Apartments,,2694,2
2054976137,542 Gateway Centre Pkwy,Richmond,VA,23235,37.499348,-77.55454,Marcella at Gateway,,1499,1
2054976137,542 Gateway Centre Pkwy,Richmond,VA,23235,37.499348,-77.55454,Marcella at Gateway,,1899,2
2055684368,17530 Lake Melford Ave,Bowie,MD,20715,38.961227,-76.70899,Aspen at Melford Town Center,,1905,0
2055684368,17530 Lake Melford Ave,Bowie,MD,20715,38.961227,-76.70899,Aspen at Melford Town Center,,2282,1
2055684368,17530 Lake Melford Ave,Bowie,MD,20715,38.961227,-76.70899,Aspen at Melford Town Center,,2794,2
2063468073,401 E 34th St,New York,NY,10016,40.74365,-73.97271,View 34,,3624,0
2063468073,401 E 34th St,New York,NY,10016,40.74365,-73.97271,View 34,,3922,1
2063468073,401 E 34th St,New York,NY,10016,40.74365,-73.97271,View 34,,6671,2
401902604,921 Mendocino St,Wake Forest,NC,27587,35.986187,-78.48549,Hawthorne at Traditions,,1349,1
401902604,921 Mendocino St,Wake Forest,NC,27587,35.986187,-78.48549,Hawthorne at Traditions,,1714,2
401902604,921 Mendocino St,Wake Forest,NC,27587,35.986187,-78.48549,Hawthorne at Traditions,,2270,3
458611648,448 Lettie Ln,Rolesville,NC,27571,35.910374,-78.47552,Wallbrook Village,,2275,3
457709348,30000 Summer Crop Ln,Apex,NC,27523,35.7211,-78.87347,The Villages at Depot,,1297,0
457709348,30000 Summer Crop Ln,Apex,NC,27523,35.7211,-78.87347,The Villages at Depot,,1399,1
457709348,30000 Summer Crop Ln,Apex,NC,27523,35.7211,-78.87347,The Villages at Depot,,2058,2
457709348,30000 Summer Crop Ln,Apex,NC,27523,35.7211,-78.87347,The Villages at Depot,,2429,3
2063190955,4601 Flat Rock Rd,Philadelphia,PA,19127,40.0293,-75.23186,Apex Manayunk,,2730,1
2063190955,4601 Flat Rock Rd,Philadelphia,PA,19127,40.0293,-75.23186,Apex Manayunk,,2290,2
2063190955,4601 Flat Rock Rd,Philadelphia,PA,19127,40.0293,-75.23186,Apex Manayunk,,2580,3
456521008,5817 Arringdon Park Dr,Morrisville,NC,27560,35.883015,-78.82795,ABODE at Arringdon,,2229,3
456521008,5817 Arringdon Park Dr,Morrisville,NC,27560,35.883015,-78.82795,ABODE at Arringdon,,2559,4
448215365,152 Market Chapel Rd,Pittsboro,NC,27312,35.809364,-79.089386,Inspire Briar Chapel - 55+ Active Adult Community,,1920,1
448215365,152 Market Chapel Rd,Pittsboro,NC,27312,35.809364,-79.089386,Inspire Briar Chapel - 55+ Active Adult Community,,2435,2
458543906,2101 Washington Ave,Philadelphia,PA,19146,39.93971,-75.17896,The Howell - 2101 Washington Ave,,1444,0
458543906,2101 Washington Ave,Philadelphia,PA,19146,39.93971,-75.17896,The Howell - 2101 Washington Ave,,1483,1
439645045,550 Wood St,Pittsburgh,PA,15222,40.44184,-79.99952,LiveWell Apartments,,1738,0
439645045,550 Wood St,Pittsburgh,PA,15222,40.44184,-79.99952,LiveWell Apartments,,1799,1
439645045,550 Wood St,Pittsburgh,PA,15222,40.44184,-79.99952,LiveWell Apartments,,2387,2
439645045,550 Wood St,Pittsburgh,PA,15222,40.44184,-79.99952,LiveWell Apartments,,3444,3
458699535,5325 Old York Rd,Philadelphia,PA,19141,40.034145,-75.1448,The York House 55 Plus,,1133,0
458699535,5325 Old York Rd,Philadelphia,PA,19141,40.034145,-75.1448,The York House 55 Plus,,1550,1
457617474,6 Becker Farm Rd,Roseland,NJ,07068,40.818874,-74.30228,Avalon at Becker Farm,,2285,0
457617474,6 Becker Farm Rd,Roseland,NJ,07068,40.818874,-74.30228,Avalon at Becker Farm,,2710,1
457617474,6 Becker Farm Rd,Roseland,NJ,07068,40.818874,-74.30228,Avalon at Becker Farm,,3415,2
420435850,1104 Winterlake Ct,Midlothian,VA,23113,37.507935,-77.66371,The Winterfield at Midlothian,,1545,1
420435850,1104 Winterlake Ct,Midlothian,VA,23113,37.507935,-77.66371,The Winterfield at Midlothian,,1710,2
456094103,5441 Greenwich Rd,Virginia Beach,VA,23462,36.841454,-76.16929,Artistry on Greenwich,,1879,1
456094103,5441 Greenwich Rd,Virginia Beach,VA,23462,36.841454,-76.16929,Artistry on Greenwich,,2199,2
456094103,5441 Greenwich Rd,Virginia Beach,VA,23462,36.841454,-76.16929,Artistry on Greenwich,,3099,3
2073233465,231 Calibre Chase Dr,Raleigh,NC,27609,35.820137,-78.63109,Anderson Hills,,1080,1
2073233465,231 Calibre Chase Dr,Raleigh,NC,27609,35.820137,-78.63109,Anderson Hills,,1440,2
454699154,90 Monroe Blvd,King Of Prussia,PA,19406,40.093044,-75.35971,Henderson Square I & II,,1885,1
454699154,90 Monroe Blvd,King Of Prussia,PA,19406,40.093044,-75.35971,Henderson Square I & II,,2145,2
2077990020,16-19A Forest St,Cambridge,MA,02140,42.385002,-71.117065,Forest Court,,3100,1
2077990020,16-19A Forest St,Cambridge,MA,02140,42.385002,-71.117065,Forest Court,,3350,2
2058215551,925 Makers Way NW,Huntsville,AL,35805,34.736614,-86.665085,Metronome Mid City,,1054,0
2058215551,925 Makers Way NW,Huntsville,AL,35805,34.736614,-86.665085,Metronome Mid City,,1197,1
2058215551,925 Makers Way NW,Huntsville,AL,35805,34.736614,-86.665085,Metronome Mid City,,1229,2
2058215551,925 Makers Way NW,Huntsville,AL,35805,34.736614,-86.665085,Metronome Mid City,,2194,3
2069906826,750 N Rush St,Chicago,IL,60611,41.896275,-87.62587,Chicagoan,,2375,1
2069906826,750 N Rush St,Chicago,IL,60611,41.896275,-87.62587,Chicagoan,,3719,2
2069906826,750 N Rush St,Chicago,IL,60611,41.896275,-87.62587,Chicagoan,,8088,3
2055331990,810 Division St,Nashville,TN,37203,36.15031,-86.780014,Modera Gulch,,1725,0
